Scene classification metrics
========================================
  Scene labels                      : 15 
  Evaluated units                   : 1173 

  Class-wise average metrics (macro-average)
  ======================================
  Accuracy
    Accuracy                        : 57.68 %

  Class-wise metrics
  ======================================
    Scene label       | Ncorr       Nref      | Accuracy   
    ----------------- | ---------   --------- | ---------  
    beach             | 65          78        | 83.3%      
    bus               | 28          78        | 35.9%      
    cafe/restaurant   | 46          78        | 59.0%      
    car               | 26          78        | 33.3%      
    city_center       | 65          78        | 83.3%      
    forest_path       | 59          78        | 75.6%      
    grocery_store     | 45          78        | 57.7%      
    home              | 32          81        | 39.5%      
    library           | 49          78        | 62.8%      
    metro_station     | 35          78        | 44.9%      
    office            | 50          78        | 64.1%      
    park              | 33          78        | 42.3%      
    residential_area  | 40          78        | 51.3%      
    train             | 32          78        | 41.0%      
    tram              | 71          78        | 91.0%      

